"PUBID","YSCH-37000","YHEA-1900","YEXP-1500","YEXP-2000","KEY!SEX","KEY!BDATE_M","KEY!BDATE_Y","PC8-092","PC9-050","PC11-008","PC11-014","CV_HH_POV_RATIO","CV_YTH_REL_HH_AGE_12","CV_YTH_REL_HH_AGE_2","CV_YTH_REL_HH_AGE_6","CV_HH_UNDER_18","CV_SAMPLE_TYPE","CV_HGC_BIO_DAD","CV_HGC_BIO_MOM","KEY!RACE_ETHNICITY","TRANS_GPA","CVC_YTH_REL_HH_AGE2_YCHR","CVC_YTH_REL_HH_AGE6_YCHR","CVC_YTH_REL_HH_AGE12_YCHR","CVC_SAT_MATH_SCORE_2007","CVC_SAT_VERBAL_SCORE_2007","CVC_ACT_SCORE_2007","CVC_HIGHEST_DEGREE_EVER"
7939,2,-4,-4,-4,2,9,1983,-4,-4,-4,-4,-4,-4,-4,-4,3,0,15,12,1,-3,1,1,1,5,5,-4,1
7940,3,-4,100,100,1,8,1981,0,1,100,50,396,4,4,4,2,0,-3,14,1,-4,-4,-4,-4,-4,-4,-4,2
7941,2,-4,100,100,2,11,1980,-4,-4,-4,-4,-4,-4,-4,-4,1,0,16,18,1,2,1,4,4,-3,-3,-4,7
7942,4,-4,-4,-4,2,5,1982,1,1,-4,-4,-3,4,4,4,2,0,12,12,1,3,-4,-4,-4,4,3,-4,4
7943,2,-4,100,100,1,3,1981,1,1,100,100,422,1,1,1,2,0,18,13,1,3,1,1,1,-4,-4,-4,3
7944,2,-4,-4,-4,1,9,1982,1,1,-4,-4,422,1,1,1,2,0,18,13,1,2,-4,-4,-4,-4,-4,-4,3
7945,2,-4,-4,-4,2,10,1983,1,1,-4,-4,530,4,4,4,2,0,-4,14,1,3,-4,-4,-4,5,3,-4,5
7946,2,-4,100,100,2,1,1980,1,1,100,100,-3,2,2,2,3,0,12,13,1,3,-4,-4,-4,-4,-4,-4,4
7947,2,-4,100,100,2,2,1981,1,1,100,100,-3,2,2,2,3,0,12,13,1,2,-4,-4,-4,3,4,-4,2
7948,3,-4,-4,-4,1,7,1983,1,1,-4,-4,-3,4,2,2,3,0,12,13,1,2,-4,-4,-4,-4,-4,-4,5
7949,2,-4,0,50,1,2,1980,0,3,0,100,18,4,4,4,2,0,12,10,1,-4,-4,-4,-4,-4,-4,-4,-3
7950,4,-4,100,100,2,10,1980,0,0,100,100,23,10,4,4,3,0,11,10,1,-3,-4,-4,-4,-4,-4,-4,1
7951,1,-4,-4,-4,2,4,1983,0,0,-4,-4,23,4,4,4,3,0,11,10,1,-3,-4,-4,-4,3,3,4,5
7952,3,-4,-4,-4,1,5,1984,0,3,-4,-4,20,4,2,4,5,0,12,12,1,-4,-4,-4,-4,-4,-4,-4,5
7953,3,-4,100,100,1,10,1980,0,3,50,50,19,4,4,4,2,0,12,12,1,-4,-4,-4,-4,-4,-4,-4,1
7954,3,-4,100,50,2,4,1981,1,3,100,50,33,4,4,4,4,0,12,14,1,2,1,6,6,-4,-4,-4,2
7955,3,-4,75,80,1,3,1981,-4,-4,-4,-4,-4,-4,-4,-4,2,0,12,12,1,-3,1,1,1,-3,-3,-3,2
7956,2,-4,-4,-4,1,9,1983,-4,-4,-4,-4,-4,-4,-4,-4,2,0,12,12,1,-3,1,1,1,-4,-4,-4,2
7958,2,-4,100,100,2,11,1981,0,1,100,100,95,4,4,4,2,0,-3,12,1,-4,-4,-4,-4,-4,-4,-4,2
7959,2,-4,-4,-4,2,12,1983,0,3,-4,-4,48,4,4,4,1,0,-3,12,1,-4,-4,-4,-4,-4,-4,-4,0
7960,3,-4,-4,-4,2,5,1984,-4,-4,-4,-4,-4,-4,-4,-4,2,0,12,12,1,-4,1,1,1,-3,-3,-4,2
7961,1,-4,100,100,2,6,1980,0,3,50,0,129,4,4,8,1,0,-3,12,1,-4,-4,-4,-4,-4,-4,-4,4
7962,3,-4,-4,-4,2,9,1984,1,1,-4,-4,-3,4,4,4,3,0,10,12,1,-3,-4,-4,-4,-4,-4,-4,2
7963,2,-4,-4,-4,1,7,1983,1,3,-4,-4,-3,4,4,4,2,0,-3,12,1,-3,-4,-4,-4,-3,-3,3,2
7964,3,-4,-4,-4,2,6,1983,1,1,-4,-4,486,8,8,8,2,0,15,16,1,-3,4,4,5,-3,-3,-4,4
7965,2,-4,78,60,1,3,1980,0,1,100,50,520,4,4,4,1,0,-3,12,1,-3,-4,-4,-4,-4,-4,-4,4
7966,3,-4,-4,-4,2,6,1983,0,6,-4,-4,-3,8,4,4,2,0,-3,12,1,-4,-4,-4,-4,-4,-4,-4,2
7967,2,-4,-4,-4,1,12,1982,0,1,-4,-4,-3,4,4,4,1,0,-3,7,1,-4,-4,-4,-4,-4,-4,-4,2
7968,2,-4,-4,-4,1,9,1984,-4,-4,-4,-4,-4,-4,-4,-4,2,0,11,6,2,-4,1,1,1,-4,-4,-4,0
7969,3,-4,100,50,1,11,1981,1,1,100,100,215,4,4,4,5,0,12,14,1,-3,-4,-4,-4,1,1,-4,2
7970,1,-4,100,75,1,1,1980,0,1,100,80,736,4,4,4,1,0,-4,16,1,-4,-4,-4,-4,3,3,-4,4
7971,2,-4,100,85,1,12,1980,0,1,100,50,736,4,7,7,1,0,-4,16,1,-4,7,7,7,-4,-4,-4,2
7972,1,-4,75,75,1,12,1980,0,1,75,50,214,4,2,4,3,0,12,14,1,-4,-4,-4,-4,2,3,-4,2
7973,2,-4,-4,-4,1,3,1982,0,1,-4,-4,214,4,2,4,3,0,12,14,1,-3,-4,-4,-4,-4,-4,-4,1
7974,2,-4,100,100,1,8,1980,0,1,100,90,-3,4,2,4,1,0,12,14,1,-3,-4,-4,-4,4,5,-4,2
7975,2,-4,50,75,1,10,1980,-2,3,40,10,-3,-1,9,9,3,0,-4,-4,1,-4,4,4,9,-4,-4,-4,1
7977,2,-4,-4,-4,2,3,1982,0,1,-4,-4,308,1,1,1,2,0,12,12,2,2,-4,-4,-4,-4,-4,-4,2
